INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,TRUTH
11,https://w3id.org/scholarlydata/person/lorenz-buehmann,https://w3id.org/scholarlydata/person/lorenz-buhmann,0.6666666666666666,0.816496580927726,0.8,0.8944271909999159,1.0,1.0,0.25,0.5,0.5,0.7071067811865476,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.3592106040535498,0.4,0.6324555320336759,1.0,1.0,1
12,https://w3id.org/scholarlydata/person/lorenz-buhmann,https://w3id.org/scholarlydata/person/lorenz-buehmann,0.6666666666666666,0.816496580927726,0.8,0.8944271909999159,1.0,1.0,0.25,0.5,0.5,0.7071067811865476,1.0,1.0,0.5,0.7071067811865476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.3592106040535498,0.4,0.6324555320336759,1.0,1.0,1
13,https://w3id.org/scholarlydata/person/amparo-e-cano,https://w3id.org/scholarlydata/person/amparo-e.-cano,0.13333333333333333,0.3651483716701107,0.6666666666666666,0.816496580927726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,https://w3id.org/scholarlydata/person/amparo-e.-cano,https://w3id.org/scholarlydata/person/amparo-e-cano,0.13333333333333333,0.3651483716701107,0.6666666666666666,0.816496580927726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,https://w3id.org/scholarlydata/person/marco-a.-casanova,https://w3id.org/scholarlydata/person/marco-antonio-casanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092272,1.0,1.0,1.0,1.0,0.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,https://w3id.org/scholarlydata/person/marco-a.-casanova,https://w3id.org/scholarlydata/person/marco-antonio-casanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092272,1.0,1.0,1.0,1.0,0.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,https://w3id.org/scholarlydata/person/marco-a.-casanova,https://w3id.org/scholarlydata/person/marco-casanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,https://w3id.org/scholarlydata/person/marco-antonio-casanova,https://w3id.org/scholarlydata/person/marco-a.-casanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092272,1.0,1.0,1.0,1.0,0.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,https://w3id.org/scholarlydata/person/marco-antonio-casanova,https://w3id.org/scholarlydata/person/marco-a.-casanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3779644730092272,1.0,1.0,1.0,1.0,0.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,https://w3id.org/scholarlydata/person/marco-antonio-casanova,https://w3id.org/scholarlydata/person/marco-casanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
