INDEX,URI_1,URI_2,per_from_org_name_union|null,per_from_org_name_presence,per_from_org_name_union|sqrt,per_from_org_name_max|null,per_from_org_name_max|sqrt,per_from_org_name_lev|null,per_from_org_uri_union|null,per_from_org_uri_presence,per_from_org_uri_union|sqrt,per_from_org_uri_max|null,per_from_org_uri_max|sqrt,per_from_org_uri_lev|null,per_name_union|null,per_name_presence,per_name_union|sqrt,per_name_max|null,per_name_max|sqrt,per_name_lev|null,per_participated_event_uri_union|null,per_participated_event_uri_presence,per_participated_event_uri_union|sqrt,per_participated_event_uri_max|null,per_participated_event_uri_max|sqrt,per_participated_event_uri_lev|null,per_published_work_uri_union|null,per_published_work_uri_presence,per_published_work_uri_union|sqrt,per_published_work_uri_max|null,per_published_work_uri_max|sqrt,per_published_work_uri_lev|null,per_role_at_event_uri_union|null,per_role_at_event_uri_presence,per_role_at_event_uri_union|sqrt,per_role_at_event_uri_max|null,per_role_at_event_uri_max|sqrt,per_role_at_event_uri_lev|null,per_published_work_coauthor_union|null,per_published_work_coauthor_presence,per_published_work_coauthor_union|sqrt,per_published_work_coauthor_max|null,per_published_work_coauthor_max|sqrt,per_published_work_coauthor_lev|null,per_published_work_bow_union|null,per_published_work_bow_presence,per_published_work_bow_union|sqrt,per_published_work_bow_max|null,per_published_work_bow_max|sqrt,TRUTH
1,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,0.04742587317756678,0.21777482218467492,0.43438985092299326,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.880952388048172,0.0,2.0,0.0,0.0,0.0,0.9411764740943909,0.0,2.0,0.0,0.0,0.0,0.8113375627077543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8504643307791816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2,https://w3id.org/scholarlydata/person/gregoris-antoniou,https://w3id.org/scholarlydata/person/grigoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,0.04742587317756678,0.21777482218467492,0.43438985092299326,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.880952388048172,0.0,2.0,0.0,0.0,0.0,0.9411764740943909,0.0,2.0,0.0,0.0,0.0,0.8113375627077543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8504643307791816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,0.04742587317756678,0.21777482218467492,0.43438985092299326,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.880952388048172,0.0,2.0,0.0,0.0,0.0,0.9411764740943909,0.0,2.0,0.0,0.0,0.0,0.8113375627077543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8504643307791816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4,https://w3id.org/scholarlydata/person/grigoris-antoniou,https://w3id.org/scholarlydata/person/gregoris-antoniou,0.2857142857142857,2.0,0.5345224838248488,0.04742587317756678,0.21777482218467492,0.43438985092299326,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.880952388048172,0.0,2.0,0.0,0.0,0.0,0.9411764740943909,0.0,2.0,0.0,0.0,0.0,0.8113375627077543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8504643307791816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
5,https://w3id.org/scholarlydata/person/ghislain-atemezing,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.692307710647583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7547009885311127,0.0,2.0,0.0,0.0,0.0,0.9803921580314636,0.0,2.0,0.0,0.0,0.0,0.7458590723219372,0.003076923076923077,2.0,0.05547001962252291,0.10911264333754538,0.3303220297490698,1
6,https://w3id.org/scholarlydata/person/ghislain-auguste-atemezing,https://w3id.org/scholarlydata/person/ghislain-atemezing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.692307710647583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7547009885311127,0.0,2.0,0.0,0.0,0.0,0.9803921580314636,0.0,2.0,0.0,0.0,0.0,0.7458590723219372,0.003076923076923077,2.0,0.05547001962252291,0.10911264333754538,0.3303220297490698,1
7,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.18181818181818182,2.0,0.4264014327112209,0.0794686146814117,0.281901781976297,0.46374188860257465,0.2222222222222222,2.0,0.4714045207910317,0.13447071068499755,0.366702482518182,0.7736016001020158,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.9545454382896423,0.03571428571428571,2.0,0.1889822365046136,0.06723535534249878,0.25929781206654784,0.8627583461999893,0.0,2.0,0.0,0.0,0.0,0.7412191477737257,0.0625,2.0,0.25,0.03973430734070585,0.1993346616640113,0.7790430727459136,0.10975609756097561,2.0,0.3312945782245396,0.37499999789895133,0.6123724339802955,0.7560630882928027,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
8,https://w3id.org/scholarlydata/person/soeren-auer,https://w3id.org/scholarlydata/person/soren-auer,0.18181818181818182,2.0,0.4264014327112209,0.0794686146814117,0.281901781976297,0.46374188860257465,0.2222222222222222,2.0,0.4714045207910317,0.13447071068499755,0.366702482518182,0.7736016001020158,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.9545454382896423,0.03571428571428571,2.0,0.1889822365046136,0.06723535534249878,0.25929781206654784,0.8627583461999893,0.0,2.0,0.0,0.0,0.0,0.7412191477737257,0.0625,2.0,0.25,0.03973430734070585,0.1993346616640113,0.7790430727459136,0.10975609756097561,2.0,0.3312945782245396,0.37499999789895133,0.6123724339802955,0.7560630882928027,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
9,https://w3id.org/scholarlydata/person/soren-auer,https://w3id.org/scholarlydata/person/soeren-auer,0.18181818181818182,2.0,0.4264014327112209,0.0794686146814117,0.281901781976297,0.46374188860257465,0.2222222222222222,2.0,0.4714045207910317,0.13447071068499755,0.366702482518182,0.7736016001020158,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.9545454382896423,0.03571428571428571,2.0,0.1889822365046136,0.06723535534249878,0.25929781206654784,0.8627583461999893,0.0,2.0,0.0,0.0,0.0,0.7412191477737257,0.0625,2.0,0.25,0.03973430734070585,0.1993346616640113,0.7790430727459136,0.10975609756097561,2.0,0.3312945782245396,0.37499999789895133,0.6123724339802955,0.7560630882928027,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
10,https://w3id.org/scholarlydata/person/soren-auer,https://w3id.org/scholarlydata/person/soeren-auer,0.18181818181818182,2.0,0.4264014327112209,0.0794686146814117,0.281901781976297,0.46374188860257465,0.2222222222222222,2.0,0.4714045207910317,0.13447071068499755,0.366702482518182,0.7736016001020158,0.5,2.0,0.7071067811865476,0.01798620996209156,0.1341126763661495,0.9545454382896423,0.03571428571428571,2.0,0.1889822365046136,0.06723535534249878,0.25929781206654784,0.8627583461999893,0.0,2.0,0.0,0.0,0.0,0.7412191477737257,0.0625,2.0,0.25,0.03973430734070585,0.1993346616640113,0.7790430727459136,0.10975609756097561,2.0,0.3312945782245396,0.37499999789895133,0.6123724339802955,0.7560630882928027,0.10262390670553936,2.0,0.32034966318936464,0.5238095238095238,0.7237468644557459,1
