originalN-fold results:
,precision, recall, f1, support
0.0,0.92,0.82,0.87,181
1.0,0.79,0.91,0.84,137
avg,0.85,0.86,0.85,318

Heldout results:
,precision, recall, f1, support
0.0,0.89,0.75,0.81,55
1.0,0.77,0.90,0.83,51
avg,0.83,0.82,0.82,106

normalizedN-fold results:
,precision, recall, f1, support
0.0,0.83,0.88,0.86,181
1.0,0.83,0.77,0.80,137
avg,0.83,0.83,0.83,318

Heldout results:
,precision, recall, f1, support
0.0,0.82,0.89,0.85,55
1.0,0.87,0.78,0.82,51
avg,0.84,0.84,0.84,106

presence_featureN-fold results:
,precision, recall, f1, support
0.0,0.86,0.87,0.87,181
1.0,0.83,0.81,0.82,137
avg,0.84,0.84,0.84,318

Heldout results:
,precision, recall, f1, support
0.0,0.84,0.89,0.87,55
1.0,0.88,0.82,0.85,51
avg,0.86,0.86,0.86,106

norm_and_presenceN-fold results:
,precision, recall, f1, support
0.0,0.84,0.88,0.86,181
1.0,0.83,0.77,0.80,137
avg,0.84,0.83,0.83,318

Heldout results:
,precision, recall, f1, support
0.0,0.82,0.91,0.86,55
1.0,0.89,0.78,0.83,51
avg,0.85,0.85,0.85,106

